chr,start,end,strand,pvalue,qvalue,meth.diff,direction
chr21,5150001,5160000,*,0.0002203048789979,0.0172891326734637,-47.3684210526316,hypo
chr21,6110001,6120000,*,0.0004477271154047,0.026410537827494,75.0,hyper
chr21,6120001,6130000,*,8.53293002457655e-06,0.0016729155242777,-25.3488372093023,hypo
chr21,6125001,6135000,*,1.67012190217463e-06,0.0004846025711349,-20.6027512338549,hypo
chr21,6370001,6380000,*,0.0005930740045215,0.03051176474326,14.6095164919598,hyper
chr21,6465001,6475000,*,1.19622542207929e-05,0.0021164437101861,-69.2307692307692,hypo
chr21,6525001,6535000,*,0.0004722811215242,0.0269758051617085,57.1428571428571,hyper
chr21,6530001,6540000,*,0.0004722811215242,0.0269758051617085,57.1428571428571,hyper
chr21,6550001,6560000,*,0.0002110433451167,0.0170100936164073,72.3076923076923,hyper
chr21,6555001,6565000,*,0.0005562759083852,0.0295406808902344,53.6231884057971,hyper
chr21,8205001,8215000,*,2.37648532289973e-05,0.0034478049064629,-25.3881278538813,hypo
chr21,8390001,8400000,*,0.0008832313594986,0.0385956730753585,39.2361111111111,hyper
chr21,8440001,8450000,*,5.46759945648933e-05,0.006722367196165,50.0,hyper
chr21,8445001,8455000,*,1.01901545468057e-08,6.71994373477529e-06,70.5882352941177,hyper
chr21,8585001,8595000,*,4.83463246555124e-05,0.0061527059482646,-54.978354978355,hypo
chr21,8590001,8600000,*,0.0006783380264896,0.0333942663529644,-43.8095238095238,hypo
chr21,9105001,9115000,*,0.0012334592284008,0.0483649364476746,-27.7979651162791,hypo
chr21,9245001,9255000,*,0.0010670124716515,0.0436809879304002,-19.7037510656436,hypo
chr21,10530001,10540000,*,0.0007895920217779,0.0362512691517539,-10.7944461843616,hypo
chr21,14590001,14600000,*,0.0011491245834138,0.0458008226817789,-12.315450714973,hypo
chr21,14825001,14835000,*,0.0004421902278393,0.026410537827494,-10.4409542314335,hypo
chr21,14950001,14960000,*,0.0006432139894262,0.0324019047173488,11.4660675634949,hyper
